,Rank,Title,Life time Gross,Year
0,1,Avatar,"$2,923,706,026",2009
1,2,Avengers: Endgame,"$2,799,439,100",2019
2,3,Avatar: The Way of Water,"$2,320,250,281",2022
3,4,Titanic,"$2,264,750,694",1997
4,5,Star Wars: Episode VII - The Force Awakens,"$2,071,310,218",2015
5,6,Avengers: Infinity War,"$2,052,415,039",2018
6,7,Spider-Man: No Way Home,"$1,922,598,800",2021
7,8,Jurassic World,"$1,671,537,444",2015
8,9,The Lion King,"$1,663,079,059",2019
9,10,The Avengers,"$1,520,538,536",2012
10,11,Furious 7,"$1,515,342,457",2015
11,12,Top Gun: Maverick,"$1,495,696,292",2022
12,13,Frozen II,"$1,453,683,476",2019
13,14,Barbie,"$1,445,638,421",2023
14,15,Avengers: Age of Ultron,"$1,405,018,048",2015
15,16,The Super Mario Bros. Movie,"$1,361,992,475",2023
16,17,Black Panther,"$1,349,926,083",2018
17,18,Harry Potter and the Deathly Hallows: Part 2,"$1,342,480,797",2011
18,19,Star Wars: Episode VIII - The Last Jedi,"$1,334,407,706",2017
19,20,Jurassic World: Fallen Kingdom,"$1,310,469,037",2018
20,21,Frozen,"$1,285,048,126",2013
21,22,Beauty and the Beast,"$1,266,115,964",2017
22,23,Incredibles 2,"$1,243,225,667",2018
23,24,The Fate of the Furious,"$1,236,009,236",2017
24,25,Iron Man 3,"$1,215,577,205",2013
25,26,Minions,"$1,159,457,503",2015
26,27,Captain America: Civil War,"$1,155,046,416",2016
27,28,Aquaman,"$1,152,028,393",2018
28,29,The Lord of the Rings: The Return of the King,"$1,151,301,082",2003
29,30,Skyfall,"$1,142,504,419",2012
30,31,Spider-Man: Far from Home,"$1,132,679,685",2019
31,32,Captain Marvel,"$1,131,416,446",2019
32,33,Transformers: Dark of the Moon,"$1,123,794,079",2011
33,34,Transformers: Age of Extinction,"$1,104,054,072",2014
34,35,Jurassic Park,"$1,103,086,582",1993
35,36,The Dark Knight Rises,"$1,085,289,416",2012
36,37,Joker,"$1,078,958,629",2019
37,38,Star Wars: Episode IX - The Rise of Skywalker,"$1,077,022,372",2019
38,39,Toy Story 4,"$1,073,841,394",2019
39,40,Toy Story 3,"$1,067,316,101",2010
40,41,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",2006
41,42,Rogue One: A Star Wars Story,"$1,058,684,742",2016
42,43,Aladdin,"$1,054,304,000",2019
43,44,Pirates of the Caribbean: On Stranger Tides,"$1,046,721,266",2011
44,45,Star Wars: Episode I - The Phantom Menace,"$1,046,515,409",1999
45,46,Despicable Me 3,"$1,034,800,131",2017
46,47,Finding Dory,"$1,029,266,989",2016
47,48,Zootopia,"$1,025,521,689",2016
48,49,Alice in Wonderland,"$1,025,468,216",2010
49,50,Harry Potter and the Sorcerer's Stone,"$1,024,466,594",2001
